model,has_businessId,indexed_on_businessId,field_count,relation_count,reader_modules,writer_modules,accessed_by_module_count,unreferenced
ProjectTask,TRUE,TRUE,23,2,ai calendar command evidence intelligence keyflow-command os projects staff-performance task-assignments temporal time-tracking trash,calendar projects trash,13,FALSE
TimeEntry,TRUE,TRUE,19,4,payroll staff-performance time-tracking,time-tracking,3,FALSE
ProjectTemplate,TRUE,TRUE,7,2,flow projects,projects,2,FALSE
ProjectPlan,TRUE,TRUE,21,4,projects,projects,1,FALSE
ProjectPlanEvent,FALSE,,27,1,projects,projects,1,FALSE
SupportTicket,TRUE,TRUE,17,4,ai helpdesk,apps/voice-agent helpdesk,3,FALSE
Site,TRUE,TRUE,8,1,intelligence packages/api trash,trash,3,FALSE
AutopilotTask,TRUE,TRUE,22,1,autopilot commerce crm key-cortex keyflow-command task-assignments,autopilot commerce seo,7,FALSE
DelegationLoop,TRUE,TRUE,16,1,ai autopilot key-cortex,autopilot key-cortex,3,FALSE
DelegationLoopRun,TRUE,TRUE,15,2,autopilot,autopilot,1,FALSE
Notification,TRUE,TRUE,9,1,bookings commerce core/connectors diagnostics notifications,commerce flow marketplace,7,FALSE
CustomerNotificationLog,TRUE,TRUE,14,1,commerce flow notifications,notifications,3,FALSE
Subscription,TRUE,TRUE,17,1,site subscriptions,subscriptions,2,FALSE
SubscriptionPayment,TRUE,TRUE,15,1,subscriptions,subscriptions,1,FALSE
AiUsageLog,TRUE,TRUE,20,1,ai apps/server diagnostics subscriptions,ai apps/server,4,FALSE
AiUsageAlert,TRUE,TRUE,7,0,ai,ai,1,FALSE
